year,rank,distributor,market_share,total_gross,movies_tracked,movies_released
2000,61,Phaedra,0.0,242000000000.0,4,3
2000,62,Shooting Gallery,0.0,210000000000.0,4,4
2000,63,Vid.,0.0,204000000000.0,1,1
2000,64,Samuel Goldwyn,0.0,188000000000.0,1,0
2000,65,Picture Me Rollin,0.0,171000000000.0,1,1
2000,66,Independent Artists,0.0,170000000000.0,1,1
2000,67,Alliance,0.0,160000000000.0,1,1
2000,68,Manga,0.0,143000000000.0,1,1
2000,69,IFC,0.0,117000000000.0,1,1
2000,70,Seville,0.0,111000000000.0,1,1
2000,71,Palisades Ent.,0.0,75200000.0,1,1
2000,72,Silver Nitrate,0.0,53500000.0,2,2
2000,73,Roxie,0.0,42300000.0,1,1
2000,74,CanWest Films,0.0,38200000.0,1,1
2000,75,Regent Releasing,0.0,26700000.0,2,2
2000,76,Arrow Releasing,0.0,18200000.0,1,1
2000,77,Keystone,0.0,7800000.0,1,1
2000,78,Film Acres,0.0,7300000.0,1,1
2000,79,Redeemable,0.0,5800000.0,1,1
2000,80,Unknown,0.0,4300000.0,1,1
2000,81,Venice Film Merchants,0.0,3900000.0,1,1
2000,82,Hollywood Classics,0.0,2700000.0,1,1
2000,83,Monarch,0.0,1600000.0,1,1
2001,1,Warner Bros.,0.151,1224800000.0,34,27
2001,2,Universal,0.11699999999999999,951500000.0,19,13
2001,3,Paramount,0.11,891500000.0,17,14
2001,4,Buena Vista,0.109,887800000.0,20,14
2001,5,20th Century Fox,0.106,862900000.0,20,16
2001,6,Sony / Columbia,0.09,729300000.0,30,25
2001,7,Miramax,0.075,611700000.0,34,25
2001,8,New Line,0.067,546400000.0,12,9
2001,9,MGM/UA,0.055,448300000.0,12,11
2001,10,DreamWorks SKG,0.049,400800000.0,11,5
2001,11,USA Films,0.017,141000000.0,12,11
2001,12,Sony Classics,0.017,138400000.0,15,11
2001,13,Lionsgate,0.006999999999999999,55600000.0,21,17
2001,14,Fox Searchlight,0.006,45400000.0,5,4
2001,15,Newmarket,0.003,26100000.0,2,2
2001,16,Paramount Classics,0.003,22700000.0,10,7
2001,17,IMAX,0.003,22300000.0,10,3
2001,18,Fine Line,0.002,16700000.0,5,3
2001,19,Artisan,0.002,13600000.0,6,5
2001,20,8X Entertainment,0.001,7800000.0,2,2
2001,21,Focus Features,0.001,6500000.0,6,5
2001,22,WGB.,0.001,6400000.0,1,1
2001,23,First Look,0.001,6100000.0,3,4
2001,24,N Wave,0.001,5300000.0,2,1
2001,25,Samuel Goldwyn,0.001,4500000.0,1,1
2001,26,IDP,0.001,4300000.0,5,5
2001,27,Cloud Ten,0.001,4200000.0,1,1
2001,28,Winstar,0.0,3200000.0,5,3
2001,29,IFC,0.0,3000000.0,8,8
2001,30,Kino,0.0,2500000.0,1,1
2001,31,Power Point,0.0,2300000.0,1,1
2001,32,Purple,0.0,2300000.0,1,1
2001,33,Yash Raj,0.0,2100000.0,1,1
2001,34,Lot 47,0.0,2100000.0,5,4
2001,35,Cowboy,0.0,2000000.0,4,3
2001,36,Eros,0.0,1600000.0,7,5
2001,37,Rainbow Releasing,0.0,1500000.0,1,1
2001,38,Excel,0.0,1300000.0,2,2
2001,39,Seville,0.0,1200000.0,1,1
2001,40,Providence,0.0,1100000.0,2,2
2001,41,Tips,0.0,1000000.0,1,1
2001,42,Castle Hill,0.0,877000000000.0,2,1
2001,43,Cho,0.0,847000000000.0,1,0
2001,44,Set Pictures,0.0,836000000000.0,1,1
2001,45,Alliance,0.0,763000000000.0,2,1
2001,46,Roxie,0.0,737000000000.0,1,0
2001,47,Avatar,0.0,679000000000.0,3,3
2001,48,Zeitgeist,0.0,668000000000.0,5,5
2001,49,Access,0.0,590000000000.0,1,1
2001,50,Jour de Fete,0.0,512000000000.0,1,1
2001,51,Empire,0.0,424000000000.0,2,1
2001,52,Wellspring,0.0,369000000000.0,2,4
2001,53,TSG,0.0,361000000000.0,4,3
2001,54,Picture This!,0.0,343000000000.0,2,2
2001,55,Strand,0.0,334000000000.0,3,2
2001,56,Shadow Dist.,0.0,316000000000.0,1,1
2001,57,New Yorker,0.0,307000000000.0,3,6
2001,58,First Run,0.0,227000000000.0,2,3
2001,59,Iron,0.0,215000000000.0,1,0
2001,60,Panorama,0.0,196000000000.0,2,3
2001,61,Filmways,0.0,190000000000.0,1,1
2001,62,Urbanworld,0.0,188000000000.0,2,2
2001,63,Equinox,0.0,184000000000.0,1,1
2001,64,Urban Vision,0.0,151000000000.0,1,1
2001,65,Maelstrom,0.0,142000000000.0,1,1
2001,66,Vitagraph,0.0,134000000000.0,2,2
2001,67,Artistic License,0.0,123000000000.0,3,3
2001,68,Pioneer,0.0,114000000000.0,1,1
2001,69,Tidepoint Pictures,0.0,94600000.0,1,1
2001,70,Heartland Film,0.0,81800000.0,1,1
2001,71,2Silk,0.0,71500000.0,1,1
2001,72,Keystone,0.0,69300000.0,2,2
2001,73,Shooting Gallery,0.0,49400000.0,1,1
2001,74,Chris.,0.0,43600000.0,1,1
2001,75,Andora Pictures,0.0,41200000.0,2,2
2001,76,Arrow Releasing,0.0,30600000.0,1,1
2001,77,Rialto,0.0,28700000.0,1,1
2001,78,Blue Steel,0.0,28100000.0,1,1
2001,79,Menemsha,0.0,27900000.0,2,4
2001,80,ADV Films,0.0,25800000.0,1,1
2001,81,Hamzeh Mystique,0.0,25000000.0,1,1
2001,82,Gabriel Film Group,0.0,19800000.0,1,1
2001,83,Cinema Village,0.0,19800000.0,2,2
2001,84,Regent Releasing,0.0,17200000.0,1,2
2001,85,Indican,0.0,14000000.0,1,1
2001,86,Cinemax,0.0,12800000.0,1,1
2001,87,Attitude Films,0.0,10700000.0,1,1
2001,88,Social Media Productions,0.0,6100000.0,1,1
2001,89,Ibex,0.0,600000.0,1,1
2002,1,Sony / Columbia,0.172,1571600000.0,35,31
2002,2,Buena Vista,0.13,1187700000.0,28,22
2002,3,Warner Bros.,0.11699999999999999,1072599999.9999999,35,28
2002,4,20th Century Fox,0.10099999999999999,924700000.0,22,14
2002,5,Universal,0.095,873800000.0,20,15
2002,6,New Line,0.095,871500000.0,13,10
2002,7,Paramount,0.07400000000000001,673800000.0,25,19
2002,8,DreamWorks SKG,0.052000000000000005,479300000.0,7,7
2002,9,MGM/UA,0.04,363100000.0,23,19
2002,10,Miramax,0.027000000000000003,245500000.0,32,24
2002,11,IFC,0.026000000000000002,238400000.0,6,5
2002,12,Fox Searchlight,0.013999999999999999,132699999.99999999,8,7
2002,13,Dimension Films,0.013999999999999999,132300000.00000001,6,6
2002,14,Lionsgate,0.008,73300000.0,17,13
2002,15,USA Films,0.006,55400000.0,3,1
2002,16,Artisan,0.006,54800000.0,7,6
2002,17,IMAX,0.005,42000000.0,9,0
2002,18,Focus Features,0.003,25500000.0,7,7
2002,19,Sony Classics,0.003,24100000.0,27,19
2002,20,Heliograph,0.001,13400000.0,1,0
2002,21,IDP,0.001,7600000.0,9,8
2002,22,WGB.,0.001,7400000.0,1,0
2002,23,Paramount Classics,0.001,7100000.0,10,9
2002,24,Alliance,0.001,6100000.0,2,2
2002,25,Newmarket,0.001,5200000.0,1,1
2002,26,Excel,0.001,4800000.0,2,1
2002,27,Manhattan,0.0,4500000.0,2,2
2002,28,Lot 47,0.0,4400000.0,4,3
2002,29,N Wave,0.0,3900000.0,3,0
2002,30,ThinkFilm,0.0,3800000.0,6,6
2002,31,Cowboy,0.0,3200000.0,16,14
2002,32,Magnolia,0.0,3200000.0,4,4
2002,33,Eros,0.0,2900000.0,2,2
2002,34,Wellspring,0.0,2100000.0,10,8
2002,35,Menemsha,0.0,2100000.0,4,1
2002,36,Kino,0.0,2000000.0,8,8
2002,37,Fine Line,0.0,1900000.0,4,4
2002,38,Palm,0.0,1900000.0,2,2
2002,39,New Yorker,0.0,1700000.0,12,5
2002,40,Christal Films,0.0,1500000.0,3,3
2002,41,Cinebella,0.0,1500000.0,2,2
2002,42,Halestorm,0.0,1300000.0,1,1
2002,43,First Run,0.0,1100000.0,11,10
2002,44,Yash Raj,0.0,1000000.0,2,1
2002,45,Regent Releasing,0.0,993000000000.0,1,0
2002,46,Media Partners,0.0,983000000000.0,2,2
2002,47,Avatar,0.0,942000000000.0,2,1
2002,48,Mongrel Media,0.0,925000000000.0,1,1
2002,49,Empire,0.0,883000000000.0,12,12
2002,50,Rainforest,0.0,881000000000.0,1,1
2002,51,First Look,0.0,811000000000.0,6,4
2002,52,Roxie,0.0,789000000000.0,3,3
2002,53,Five & Two Pictures,0.0,764000000000.0,1,1
2002,54,Zeitgeist,0.0,747000000000.0,5,4
2002,55,Outrider,0.0,695000000000.0,8,8
2002,56,Rialto,0.0,615000000000.0,6,6
2002,57,Myriad Entertainment Group,0.0,583000000000.0,1,0
2002,58,Strand,0.0,580000000000.0,7,7
2002,59,Indican,0.0,571000000000.0,3,2
2002,60,Musicwave,0.0,393000000000.0,1,1
2002,61,Panorama,0.0,343000000000.0,1,0
2002,62,Silver Nitrate,0.0,284000000000.0,2,2
2002,63,Maelstrom,0.0,279000000000.0,1,0
2002,64,David Keith,0.0,249000000000.0,1,1
2002,65,Magic Lamp,0.0,247000000000.0,2,2
2002,66,Small Planet,0.0,238000000000.0,1,1
2002,67,Jour de Fete,0.0,235000000000.0,1,1
2002,68,Oceanside,0.0,234000000000.0,1,1
2002,69,Rainbow Releasing,0.0,228000000000.0,1,0
2002,70,Arrow Releasing,0.0,208000000000.0,1,0
2002,71,Equinox,0.0,171000000000.0,1,1
2002,72,Innovation Film Group,0.0,168000000000.0,2,2
2002,73,Peninsula,0.0,144000000000.0,1,1
2002,74,Milestone,0.0,141000000000.0,1,1
2002,75,MAC Releasing,0.0,133000000000.0,1,1
2002,76,Streetlight,0.0,129000000000.0,1,1
2002,77,Artistic License,0.0,129000000000.0,6,6
2002,78,Jenkins,0.0,112000000000.0,1,1
2002,79,Leisure Time,0.0,102000000000.0,2,1
2002,80,Castle Hill,0.0,98100000.0,3,3
2002,81,Video Sound,0.0,95400000.0,1,1
2002,82,Bandai,0.0,94100000.0,1,1
2002,83,Venevision,0.0,92100000.0,2,2
2002,84,DEJ,0.0,79200000.0,1,1
2002,85,Vitagraph,0.0,77900000.0,1,1
2002,86,Hanson Brothers,0.0,75200000.0,1,1
2002,87,Ruff Nation,0.0,70600000.0,1,1
2002,88,Ent. Highway,0.0,65200000.0,1,1
2002,89,Cinema Guild,0.0,65200000.0,1,1
2002,90,Five Sisters,0.0,64400000.00000001,1,1
2002,91,MPE,0.0,60900000.0,1,1
2002,92,Picture This!,0.0,57700000.0,1,1
2002,93,National Amusements,0.0,55000000.0,1,1
2002,94,Access,0.0,44100000.0,1,0
2002,95,Pathfinder,0.0,37700000.0,6,6
2002,96,7th Art,0.0,36100000.0,5,5
2002,97,Icarus Films,0.0,26600000.0,1,1
2002,98,Gold Circle,0.0,23800000.0,1,1
2002,99,Odyssey,0.0,23800000.0,1,1
2002,100,Media Blasters,0.0,18100000.0,1,1
2002,101,Seventh Art,0.0,17800000.0,4,4
2002,102,Keystone,0.0,17600000.0,1,1
2002,103,TLA Releasing,0.0,17500000.0,1,1
2002,104,Gabriel Film Group,0.0,15900000.0,1,1
2002,105,Open Edge,0.0,11600000.0,1,1
2002,106,Exile,0.0,10100000.0,1,1
2002,107,Flatland,0.0,8400000.0,1,1
2002,108,Artmattan Prods.,0.0,7400000.0,2,2
2002,109,Northern Arts,0.0,6200000.0,1,1
2002,110,Tartan,0.0,6100000.0,1,1
2002,111,OFI,0.0,5000000.0,1,1
2002,112,Wanderman,0.0,3200000.0,1,1
2002,113,Cheapo Films,0.0,2500000.0,1,1
2002,114,Wine Women & Song,0.0,2200000.0,1,1
2002,115,Dylan,0.0,2200000.0,1,1
2002,116,Friedman-Nadler,0.0,2100000.0,1,1
2002,117,Boll Films,0.0,1500000.0,1,1
2003,1,Buena Vista,0.165,1524000000.0,29,19
2003,2,Sony / Columbia,0.13,1197100000.0,31,24
2003,3,Warner Bros.,0.128,1178200000.0,25,20
2003,4,Universal,0.11599999999999999,1069599999.9999999,18,14
2003,5,New Line,0.10099999999999999,934400000.0,16,13
2003,6,20th Century Fox,0.084,774000000.0,20,16
2003,7,Paramount,0.071,654100000.0,21,15
2003,8,Miramax,0.044000000000000004,407300000.0,28,19
2003,9,MGM/UA,0.04,371400000.0,23,15
2003,10,Dimension Films,0.031,289700000.0,6,4
2003,11,DreamWorks SKG,0.03,272900000.0,10,7
2003,12,Fox Searchlight,0.013000000000000001,121500000.0,13,10
2003,13,Focus Features,0.011000000000000001,104900000.0,10,8
2003,14,Lionsgate,0.006,54400000.0,17,14
2003,15,Sony Classics,0.004,33000000.0,27,19
2003,16,IMAX,0.003,27100000.0,8,1
2003,17,Artisan,0.003,23900000.0,8,5
2003,18,Newmarket,0.002,22300000.0,6,5
2003,19,IFC,0.002,21100000.0,9,8
2003,20,Odeon,0.001,12300000.0,7,7
2003,21,IDP,0.001,10600000.0,12,10
2003,22,ThinkFilm,0.001,9500000.0,7,7
2003,23,Alliance,0.001,9100000.0,8,7
2003,24,Fine Line,0.001,7200000.0,2,2
2003,25,Zeitgeist,0.001,6400000.0,5,4
2003,26,RS,0.001,5800000.0,3,3
2003,27,Paramount Classics,0.001,5400000.0,9,6
2003,28,SK Films,0.0,4300000.0,1,1
2003,29,Manhattan,0.0,3700000.0,2,1
2003,30,Eros,0.0,3600000.0,10,10
2003,31,Magnolia,0.0,3200000.0,3,3
2003,32,Equinox,0.0,3000000.0,1,1
2003,33,Wellspring,0.0,3000000.0,9,7
2003,34,N Wave,0.0,2800000.0,3,0
2003,35,Yash Raj,0.0,2700000.0,3,2
2003,36,Warren Miller,0.0,2400000.0,1,1
2003,37,Christal Films,0.0,2300000.0,5,5
2003,38,Palm,0.0,2200000.0,10,10
2003,39,WGB.,0.0,1800000.0,1,0
2003,40,New Yorker,0.0,1600000.0,17,11
2003,41,Innovation Film Group,0.0,1600000.0,7,6
2003,42,Roxie,0.0,1500000.0,1,0
2003,43,Strand,0.0,1400000.0,17,12
2003,44,Vitagraph,0.0,1400000.0,3,3
2003,45,Rajshri Intl.,0.0,1300000.0,2,2
2003,46,Chris.,0.0,1300000.0,2,2
2003,47,Mormon Movies,0.0,1100000.0,1,1
2003,48,Halestorm,0.0,1100000.0,1,1
2003,49,TVA,0.0,957000000000.0,4,4
2003,50,Menemsha,0.0,865000000000.0,3,2
2003,51,Cowboy,0.0,861000000000.0,15,2
2003,52,First Run,0.0,849000000000.0,14,8
2003,53,Rialto,0.0,801000000000.0,7,5
2003,54,Seville,0.0,684000000000.0,1,1
2003,55,Avatar,0.0,679000000000.0,4,2
2003,56,Panorama,0.0,672000000000.0,2,1
2003,57,Kino,0.0,666000000000.0,11,7
2003,58,Indican,0.0,642000000000.0,8,5
2003,59,First Look,0.0,608000000000.0,5,5
2003,60,CAVU,0.0,595000000000.0,1,1
2003,61,Sundance Film Series,0.0,587000000000.0,4,4
2003,62,Gold Circle,0.0,570000000000.0,2,1
2003,63,TLA Releasing,0.0,568000000000.0,6,5
2003,64,Shadow Dist.,0.0,524000000000.0,3,4
2003,65,Five & Two Pictures,0.0,521000000000.0,1,0
2003,66,Small Planet,0.0,467000000000.0,4,3
2003,67,Megastar,0.0,410000000000.0,1,1
2003,68,MAC Releasing,0.0,400000000000.0,3,3
2003,69,Five Sisters,0.0,392000000000.0,1,0
2003,70,Excel,0.0,373000000000.0,2,1
2003,71,Artistic License,0.0,368000000000.0,2,3
2003,72,Tips,0.0,346000000000.0,1,1
2003,73,Animation Show,0.0,304000000000.0,1,1
2003,74,Arenaplex,0.0,291000000000.0,2,2
2003,75,Video Sound,0.0,285000000000.0,1,1
2003,76,Jet Films,0.0,261000000000.0,1,1
2003,77,Regent Releasing,0.0,246000000000.0,2,1
2003,78,Empire,0.0,203000000000.0,7,3
2003,79,Media Partners,0.0,195000000000.0,1,0
2003,80,Net Effect,0.0,192000000000.0,2,2
2003,81,Films Philos,0.0,176000000000.0,1,1
2003,82,Gatekeeper,0.0,165000000000.0,1,1
2003,83,Lang Films,0.0,165000000000.0,1,1
2003,84,Purple,0.0,138000000000.0,1,1
2003,85,Venevision,0.0,123000000000.0,2,2
2003,86,Picture This!,0.0,118000000000.0,2,1
2003,87,Spark Media,0.0,107000000000.0,1,1
2003,88,Music Masala Films,0.0,85700000.0,1,1
2003,89,ADV Films,0.0,77600000.0,1,1
2003,90,Cinema Guild,0.0,75000000.0,3,2
2003,91,Trillion,0.0,71700000.0,1,1
2003,92,Rainbow Releasing,0.0,57600000.0,1,0
2003,93,120 Degree Films,0.0,56100000.0,1,1
2003,94,Small Island,0.0,53100000.0,1,1
2003,95,Lifesize,0.0,49500000.0,1,1
2003,96,7th Art,0.0,48700000.0,3,3
2003,97,MPE,0.0,37700000.0,1,0
2003,98,Castle Hill,0.0,37200000.0,4,3
2003,99,Facets,0.0,36800000.0,2,2
2003,100,Cinema Tropical,0.0,33100000.0,1,1
2003,101,DEJ,0.0,30500000.0,1,1
2003,102,Leisure Time,0.0,30200000.0,2,1
2003,103,Lot 47,0.0,24600000.0,1,0
2003,104,Strata Prods.,0.0,21400000.0,1,1
2003,105,JF Productions,0.0,19800000.0,1,1
2003,106,Spanish Moss,0.0,19400000.0,1,1
2003,107,Pioneer,0.0,16200000.0,1,1
2003,108,Cinema Four,0.0,15900000.0,5,5
2003,109,Paradise Acres,0.0,15600000.0,1,1
2003,110,Spit N' Glue,0.0,14900000.0,1,1
2003,111,Arab Film Dist.,0.0,14300000.0,2,2
2003,112,Hollywood Global,0.0,11500000.0,1,1
2003,113,Fish Eye,0.0,11400000.0,1,1
2003,114,Loop Filmworks,0.0,11300000.0,1,1
2003,115,David Keith,0.0,11000000.0,2,1
2003,116,Film Movement,0.0,11000000.0,1,1
2003,117,Manifesto Films,0.0,9400000.0,1,1
2003,118,Balcony Releasing,0.0,8900000.0,1,1
2003,119,Icarus Films,0.0,8500000.0,1,0
2003,120,Miracle Film Distribution,0.0,8000000.0,1,1
2003,121,Neverland,0.0,8000000.0,1,1
2003,122,Reliance Films,0.0,7500000.0,1,1
2003,123,The Martindale Group,0.0,6900000.0,1,1
2003,124,Testimony,0.0,6100000.0,1,1
2003,125,Outrider,0.0,5700000.0,2,2
2003,126,Tidepoint Pictures,0.0,4600000.0,1,1
2003,127,Arrival Pictures,0.0,4200000.0,1,1
2003,128,Jour de Fete,0.0,4099999.9999999995,1,1
2003,129,Off-Holywd. Dist.,0.0,3200000.0,1,1
2003,130,Hiqi Media,0.0,3200000.0,1,1
2003,131,Pathfinder,0.0,1600000.0,1,1
2003,132,Running Entertainment,0.0,1600000.0,1,1
2003,133,Emerging Pictures,0.0,1400000.0,1,1
2003,134,"Exorcism The Movie, LLC",0.0,1300000.0,1,1
2003,135,Rainforest,0.0,1000000.0,1,0
2003,136,Abramorama,0.0,1000000.0,1,1
2004,1,Sony / Columbia,0.14300000000000002,1337600000.0,24,17
2004,2,Warner Bros.,0.129,1214200000.0,28,22
2004,3,Buena Vista,0.124,1159100000.0,28,20
2004,4,DreamWorks SKG,0.1,937100000.0,11,10
2004,5,20th Century Fox,0.099,930000000.0,18,14
2004,6,Universal,0.095,893400000.0,20,14
2004,7,Paramount,0.067,628300000.0,17,14
2004,8,New Line,0.046,430200000.0,14,10
2004,9,Newmarket,0.043,406700000.0,8,7
2004,10,Miramax,0.039,368200000.0,20,13
2004,11,Lionsgate,0.032,302100000.0,21,18
2004,12,MGM/UA,0.021,198900000.0,19,15
2004,13,Fox Searchlight,0.018000000000000002,172900000.0,11,10
2004,14,Focus Features,0.01,94500000.0,7,5
2004,15,Sony Classics,0.004,41000000.0,29,22
2004,16,Rogue Pictures,0.003,30600000.0,2,2
2004,17,Dimension Films,0.002,20800000.0,4,1
2004,18,Giant Screen Films,0.002,16600000.000000002,2,0
2004,19,IMAX,0.002,15000000.0,7,1
2004,20,IDP,0.002,14600000.0,11,9
2004,21,Alliance,0.002,14100000.0,10,8
2004,22,Warner Independent,0.001,12100000.0,6,6
2004,23,Magnolia,0.001,10500000.0,10,10
2004,24,Fine Line,0.001,10100000.0,5,4
2004,25,Captured Light Distribution,0.001,10000000.0,1,1
2004,26,SK Films,0.001,9700000.0,1,0
2004,27,Triumph,0.001,9200000.0,1,1
2004,28,IFC,0.001,8199999.999999999,10,10
2004,29,ThinkFilm,0.001,7000000.0,13,11
2004,30,Christal Films,0.001,6400000.0,8,7
2004,31,Paramount Classics,0.001,6300000.0,10,9
2004,32,Televisa Cine,0.0,4200000.0,1,1
2004,33,Yash Raj,0.0,4000000.0,4,3
2004,34,Mulberry Square,0.0,3800000.0,1,1
2004,35,Eros,0.0,3300000.0,8,7
2004,36,New Yorker,0.0,2900000.0,9,5
2004,37,Wellspring,0.0,2800000.0,14,11
2004,38,Film Foundry,0.0,2700000.0,1,1
2004,39,N Wave,0.0,2600000.0,3,0
2004,40,Odeon,0.0,2600000.0,3,1
2004,41,TVA,0.0,2600000.0,3,2
2004,42,Excel,0.0,2500000.0,3,2
2004,43,Zeitgeist,0.0,2400000.0,7,7
2004,44,UTV Communications,0.0,1800000.0,3,3
2004,45,Luke Films,0.0,1800000.0,1,1
2004,46,Mongrel Media,0.0,1600000.0,1,1
2004,47,Halestorm,0.0,1500000.0,3,3
2004,48,Rialto,0.0,1300000.0,4,3
2004,49,Innovation Film Group,0.0,1300000.0,8,7
2004,50,Arenas Entertainment,0.0,1100000.0,2,2
2004,51,Zee TV,0.0,1000000.0,2,2
2004,52,TLA Releasing,0.0,998000000000.0,7,6
2004,53,Kino,0.0,915000000000.0,10,8
2004,54,Empire,0.0,856000000000.0,8,5
2004,55,Regent Releasing,0.0,820000000000.0,8,8
2004,56,Strand,0.0,725000000000.0,22,15
2004,57,Cinema Libre Studio,0.0,723000000000.0,3,3
2004,58,Rainbow Releasing,0.0,654000000000.0,2,1
2004,59,Mormon Movies,0.0,556000000000.0,1,0
2004,60,P & A Releasing,0.0,527000000000.0,1,1
2004,61,Palm,0.0,506000000000.0,16,12
2004,62,First Run,0.0,477000000000.0,17,11
2004,63,Vitagraph,0.0,447000000000.0,6,5
2004,64,Net Effect,0.0,425000000000.0,2,2
2004,65,Artistic License,0.0,406000000000.0,5,3
2004,66,Shadow Dist.,0.0,396000000000.0,4,0
2004,67,Indican,0.0,376000000000.0,8,5
2004,68,MAC Releasing,0.0,352000000000.0,2,2
2004,69,Dada Films,0.0,348000000000.0,2,2
2004,70,Seville,0.0,336000000000.0,2,2
2004,71,First Look,0.0,305000000000.0,4,3
2004,72,Cinema Service,0.0,298000000000.0,1,1
2004,73,Slugger Pictures,0.0,295000000000.0,1,1
2004,74,Emerging Pictures,0.0,275000000000.0,2,2
2004,75,Shakey,0.0,256000000000.0,1,1
2004,76,Tartan,0.0,248000000000.0,4,4
2004,77,Menemsha,0.0,237000000000.0,1,0
2004,78,Wild Rose,0.0,235000000000.0,1,1
2004,79,Cinema Libre,0.0,213000000000.0,1,1
2004,80,Unico Entertainment,0.0,201000000000.0,1,1
2004,81,RBC Radio,0.0,193000000000.0,1,1
2004,82,Lantern Lane,0.0,185000000000.0,2,2
2004,83,Koch Lorber Films,0.0,166000000000.0,1,1
2004,84,Cinema Guild,0.0,161000000000.0,3,3
2004,85,Gatekeeper,0.0,147000000000.0,1,0
2004,86,Unitel Pictures,0.0,133000000000.0,1,1
2004,87,Pak Films / Shotwell Media,0.0,131000000000.0,1,1
2004,88,7th Art,0.0,111000000000.0,1,1
2004,89,Non-Fiction Films,0.0,111000000000.0,1,1
2004,90,Slowhand Cinema,0.0,109000000000.0,1,1
2004,91,Panorama,0.0,106000000000.0,3,2
2004,92,Rainbow Films,0.0,98300000.0,1,1
2004,93,Northern Arts,0.0,95200000.0,2,2
2004,94,Citizens United,0.0,93000000.0,1,1
2004,95,Wolfe Releasing,0.0,84600000.0,3,3
2004,96,Picture This!,0.0,84600000.0,3,3
2004,97,Norador Productions,0.0,82900000.0,1,1
2004,98,Painted Zebra Releasing,0.0,81300000.0,1,1
2004,99,K Film,0.0,80000000.0,1,1
2004,100,Sister Films,0.0,79800000.0,1,0
2004,101,Cristal,0.0,78700000.0,1,1
2004,102,Every Tribe,0.0,67400000.0,1,1
2004,103,Castle Hill,0.0,66300000.0,3,2
2004,104,Abramorama,0.0,65500000.0,2,2
2004,105,Mela Films,0.0,64900000.00000001,1,1
2004,106,Icarus Films,0.0,63900000.0,4,3
2004,107,Animation Show,0.0,62200000.0,1,0
2004,108,Pathfinder,0.0,58200000.0,1,1
2004,109,Artmattan Prods.,0.0,55400000.0,4,3
2004,110,ISA Releasing,0.0,44300000.0,1,1
